TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH
tbFormasPago                                                                                                                     Fpa_FechaRegistra                                                                                                                datetime2                                                                                                                                            NULL
tbFormasPago                                                                                                                     Fpa_UsuarioModifica                                                                                                              int                                                                                                                                                  NULL
tbFormasPago                                                                                                                     Fpa_FechaModifica                                                                                                                datetime2                                                                                                                                            NULL
tbMoratorias                                                                                                                     Mor_Id                                                                                                                           int                                                                                                                                                  NULL
tbMoratorias                                                                                                                     Cco_Id                                                                                                                           int                                                                                                                                                  NULL
tbMoratorias                                                                                                                     Mor_DiasAtraso                                                                                                                   int                                                                                                                                                  NULL
tbMoratorias                                                                                                                     Mor_Porcentaje                                                                                                                   decimal                                                                                                                                              NULL
tbMoratorias                                                                                                                     Mor_MontoMora                                                                                                                    decimal                                                                                                                                              NULL
tbMoratorias                                                                                                                     Mor_FechaCalculo                                                                                                                 date                                                                                                                                                 NULL
tbMoratorias                                                                                                                     Mor_EsEliminado                                                                                                                  bit                                                                                                                                                  NULL
tbMoratorias                                                                                                                     Mor_UsuarioRegistra                                                                                                              int                                                                                                                                                  NULL
tbMoratorias                                                                                                                     Mor_FechaRegistra                                                                                                                datetime2                                                                                                                                            NULL
tbMoratorias                                                                                                                     Mor_UsuarioModifica                                                                                                              int                                                                                                                                                  NULL
tbMoratorias                                                                                                                     Mor_FechaModifica                                                                                                                datetime2                                                                                                                                            NULL
tbPagos                                                                                                                          Pag_Id                                                                                                                           int                                                                                                                                                  NULL
tbPagos                                                                                                                          Alu_Id                                                                                                                           int                                                                                                                                                  NULL
tbPagos                                                                                                                          Enc_Id                                                                                                                           int                                                                                                                                                  NULL
tbPagos                                                                                                                          Fpa_Id                                                                                                                           int                                                                                                                                                  NULL
tbPagos                                                                                                                          Pag_MontoTotal                                                                                                                   decimal                                                                                                                                              NULL
tbPagos                                                                                                                          Pag_FechaPago                                                                                                                    datetime2                                                                                                                                            NULL
tbPagos                                                                                                                          Pag_NumeroReferencia                                                                                                             nvarchar                                                                                                                                               60
tbPagos                                                                                                                          Pag_Observaciones                                                                                                                nvarchar                                                                                                                                              300
tbPagos                                                                                                                          Usu_Id                                                                                                                           int                                                                                                                                                  NULL
tbPagos                                                                                                                          Pag_EsEliminado                                                                                                                  bit                                                                                                                                                  NULL
tbPagos                                                                                                                          Pag_UsuarioRegistra                                                                                                              int                                                                                                                                                  NULL
tbPagos                                                                                                                          Pag_FechaRegistra                                                                                                                datetime2                                                                                                                                            NULL
tbPagos                                                                                                                          Pag_UsuarioModifica                                                                                                              int                                                                                                                                                  NULL
tbPagos                                                                                                                          Pag_FechaModifica                                                                                                                datetime2                                                                                                                                            NULL
tbTarifas                                                                                                                        Tar_Id                                                                                                                           int                                                                                                                                                  NULL
tbTarifas                                                                                                                        Cpa_Id                                                                                                                           int                                                                                                                                                  NULL
tbTarifas                                                                                                                        Niv_Id                                                                                                                           int                                                                                                                                                  NULL
tbTarifas                                                                                                                        Cun_Id                                                                                                                           int                                                                                                                                                  NULL
tbTarifas                                                                                                                        Tar_Monto                                                                                                                        decimal                                                                                                                                              NULL
tbTarifas                                                                                                                        Tar_AnioVigencia                                                                                                                 smallint                                                                                                                                             NULL
tbTarifas                                                                                                                        Tar_EsEliminado                                                                                                                  bit                                                                                                                                                  NULL
tbTarifas                                                                                                                        Tar_UsuarioRegistra                                                                                                              int                                                                                                                                                  NULL
tbTarifas                                                                                                                        Tar_FechaRegistra                                                                                                                datetime2                                                                                                                                            NULL
tbTarifas                                                                                                                        Tar_UsuarioModifica                                                                                                              int                                                                                                                                                  NULL
tbTarifas                                                                                                                        Tar_FechaModifica                                                                                                                datetime2                                                                                                                                            NULL
tbTarifas                                                                                                                        Tar_EsActivo                                                                                                                     bit                                                                                                                                                  NULL

(101 rows affected)
